dataset,graph_name,strategy,trial,fraction_removed,nodes_remaining,largest_component_ratio,global_efficiency_ratio
wikivital-mathematics,wikivital-mathematics,random,5,0.6000000000000001,427,0.397940074906367,0.9472382873848239
wikivital-mathematics,wikivital-mathematics,random,5,0.65,374,0.34737827715355807,0.9253114663849937
wikivital-mathematics,wikivital-mathematics,random,5,0.7000000000000001,320,0.29681647940074907,0.9225340367905558
wikivital-mathematics,wikivital-mathematics,random,5,0.75,267,0.24531835205992508,0.9111254115862885
wikivital-mathematics,wikivital-mathematics,random,5,0.8,214,0.1956928838951311,0.8992875575437375
wikivital-mathematics,wikivital-mathematics,random,5,0.8500000000000001,160,0.13764044943820225,0.8083658564921445
wikivital-mathematics,wikivital-mathematics,random,5,0.9,107,0.09176029962546817,0.7689229739246753
wikivital-mathematics,wikivital-mathematics,random,5,0.9500000000000001,53,0.0299625468164794,0.3362292696455315
wikivital-mathematics,wikivital-mathematics,random,5,1.0,0,0.0,0.0
wikivital-mathematics,wikivital-mathematics,random,6,0.0,1068,1.0,1.0
wikivital-mathematics,wikivital-mathematics,random,6,0.05,1015,0.950374531835206,0.9764932889087429
wikivital-mathematics,wikivital-mathematics,random,6,0.1,961,0.898876404494382,0.9681986532463541
wikivital-mathematics,wikivital-mathematics,random,6,0.15000000000000002,908,0.849250936329588,0.9693992673431974
wikivital-mathematics,wikivital-mathematics,random,6,0.2,854,0.798689138576779,0.9652323659023643
wikivital-mathematics,wikivital-mathematics,random,6,0.25,801,0.74812734082397,0.9623950178464226
wikivital-mathematics,wikivital-mathematics,random,6,0.30000000000000004,748,0.6985018726591761,0.9579732508392546
wikivital-mathematics,wikivital-mathematics,random,6,0.35000000000000003,694,0.6479400749063671,0.9529354435599932
wikivital-mathematics,wikivital-mathematics,random,6,0.4,641,0.598314606741573,0.9488047764961914
wikivital-mathematics,wikivital-mathematics,random,6,0.45,587,0.547752808988764,0.9487689540904004
wikivital-mathematics,wikivital-mathematics,random,6,0.5,534,0.49812734082397003,0.9466910419580024
wikivital-mathematics,wikivital-mathematics,random,6,0.55,481,0.448501872659176,0.9352248141256914
wikivital-mathematics,wikivital-mathematics,random,6,0.6000000000000001,427,0.3970037453183521,0.933459740261567
wikivital-mathematics,wikivital-mathematics,random,6,0.65,374,0.34831460674157305,0.9312680732127481
wikivital-mathematics,wikivital-mathematics,random,6,0.7000000000000001,320,0.29681647940074907,0.912844244125643
wikivital-mathematics,wikivital-mathematics,random,6,0.75,267,0.24531835205992508,0.8817512886423301
wikivital-mathematics,wikivital-mathematics,random,6,0.8,214,0.19382022471910113,0.7818101589297741
wikivital-mathematics,wikivital-mathematics,random,6,0.8500000000000001,160,0.14232209737827714,0.7379124517111296
wikivital-mathematics,wikivital-mathematics,random,6,0.9,107,0.08614232209737828,0.598874158600102
wikivital-mathematics,wikivital-mathematics,random,6,0.9500000000000001,53,0.027153558052434457,0.25580683816407107
wikivital-mathematics,wikivital-mathematics,random,6,1.0,0,0.0,0.0
wikivital-mathematics,wikivital-mathematics,random,7,0.0,1068,1.0,1.0
wikivital-mathematics,wikivital-mathematics,random,7,0.05,1015,0.950374531835206,0.9980870583757433
wikivital-mathematics,wikivital-mathematics,random,7,0.1,961,0.899812734082397,1.0003268325559975
wikivital-mathematics,wikivital-mathematics,random,7,0.15000000000000002,908,0.849250936329588,0.9969059061107155
wikivital-mathematics,wikivital-mathematics,random,7,0.2,854,0.798689138576779,0.988453307777379
wikivital-mathematics,wikivital-mathematics,random,7,0.25,801,0.74812734082397,0.9778328270081319
wikivital-mathematics,wikivital-mathematics,random,7,0.30000000000000004,748,0.6985018726591761,0.9696253494507073
wikivital-mathematics,wikivital-mathematics,random,7,0.35000000000000003,694,0.648876404494382,0.9374395639435651
wikivital-mathematics,wikivital-mathematics,random,7,0.4,641,0.599250936329588,0.938660996450719
wikivital-mathematics,wikivital-mathematics,random,7,0.45,587,0.548689138576779,0.9332285106126743
wikivital-mathematics,wikivital-mathematics,random,7,0.5,534,0.499063670411985,0.9257069242222415
wikivital-mathematics,wikivital-mathematics,random,7,0.55,481,0.449438202247191,0.9072451097779349
wikivital-mathematics,wikivital-mathematics,random,7,0.6000000000000001,427,0.398876404494382,0.9016511556015999
